,Date,Market,Branch,Product,Return,Payment,Product and Return
0,2023-01-03,номин,УИД,753618.13,,"753,618.13",753618.13
1,2023-01-03,номин,Андууд,426576.3,,"426,576.30",426576.3
2,2023-01-03,номин,10 ХАС,639864.45,28438.42,"611,426.03",668302.87
3,2023-01-04,номин,Нисэх,483453.14,42657.63,"440,795.51",526110.77
4,2023-01-04,номин,Яармаг,483453.14,14219.21,"469,233.93",497672.35
5,2023-01-05,номин,зүүн 4 зам,511891.56,14219.21,"497,672.35",526110.77
6,2023-01-05,номин,Өргөө,270164.99,,"270,164.99",270164.99
7,2023-01-06,номин,УИД,327041.83,,"327,041.83",327041.83
8,2023-01-06,номин,ривер,469233.93,28438.42,"440,795.51",497672.35
9,2023-01-06,номин,зайсан,412357.09,28438.42,"383,918.67",440795.51
10,2023-01-06,номин,их монгол,526110.77,14219.21,"511,891.56",540329.98
11,2023-01-09,номин,УИД,497672.35,,"497,672.35",497672.35
12,2023-01-09,номин,11,284384.2,,"284,384.20",284384.2
13,2023-01-11,номин,замын үүд,1279728.9,14219.21,"1,265,509.69",1293948.11
14,2023-01-12,номин,зүүн 4 зам,270164.99,14219.21,"255,945.78",284384.2
15,2023-01-12,номин,юнайтед,497672.35,,"497,672.35",497672.35
16,2023-01-13,номин,Өргөө,142192.1,,"142,192.10",142192.1
17,2023-01-13,номин,32,497672.35,127972.89,"369,699.46",625645.24
18,2023-01-13,номин,зунжин,824714.18,113753.68,"710,960.50",938467.86
19,2023-01-15,номин,УИД,611426.03,,"611,426.03",611426.03
20,2023-01-15,номин,,597206.82,85315.26,"511,891.56",682522.08
21,2023-01-15,номин,наадам,853152.6,14219.21,"838,933.39",867371.81
22,2023-01-15,номин,РивэрГардэн,554549.19,28438.42,"526,110.77",582987.61
23,2023-01-15,номин,их монгол,398137.88,14219.21,"383,918.67",412357.09
24,2023-01-15,номин,11,199068.94,,"199,068.94",199068.94
25,2023-01-16,номин,Яармаг,312822.62,,"312,822.62",312822.62
26,2023-01-16,номин,Седар,991393.12,42657.63,"948,735.49",1034050.75
27,2023-01-18,номин,нарны хороолол,327041.83,42657.63,"284,384.20",369699.46
28,2023-01-19,номин,УИД,717276.55,,"717,276.55",717276.55
29,2023-01-19,номин,Андууд,241726.57,14219.21,"227,507.36",255945.78
30,2023-01-19,номин,Өргөө,312822.62,,"312,822.62",312822.62
31,2023-01-20,номин,10 ХАС,554549.19,28438.42,"526,110.77",582987.61
32,2023-01-20,номин,москва,455014.72,127972.89,"327,041.83",582987.61
33,2023-01-20,номин,өнөр,284384.2,14219.21,"270,164.99",298603.41
34,2023-01-21,номин,наадам,398137.88,28438.42,"369,699.46",426576.3
35,2023-01-21,номин,РивэрГардэн,284384.2,28438.42,"255,945.78",312822.62
36,2023-01-21,номин,их монгол,440795.51,14219.21,"426,576.30",455014.72
37,2023-01-23,номин,УИД,383918.67,71096.05,,455014.72
38,2023-01-23,номин,32,142192.1,,"142,192.10",142192.1
39,2023-01-23,номин,11,255945.78,28438.42,"227,507.36",284384.2
40,2023-01-23,номин,зунжин,796275.76,,"796,275.76",796275.76
41,2023-01-26,номин,Нисэх,184849.73,,"184,849.73",184849.73
42,2023-01-26,номин,Яармаг,369699.46,,"369,699.46",369699.46
43,2023-01-27,номин,зүүн 4 зам,426576.3,42657.63,"383,918.67",469233.93
44,2023-01-27,номин,Sky БЗД,312822.62,,"312,822.62",312822.62
45,2023-01-27,номин,Андууд,142192.1,,"142,192.10",142192.1
